id,type
3,Goblin
6,Goblin
9,Ghoul
10,Ghoul
13,Ghost
14,Ghost
15,Ghoul
16,Goblin
17,Ghoul
18,Ghoul
20,Ghost
21,Ghoul
24,Goblin
26,Ghost
33,Ghoul
38,Ghost
40,Goblin
41,Ghost
42,Ghost
43,Goblin
44,Ghoul
46,Ghoul
48,Ghoul
49,Goblin
50,Ghoul
51,Goblin
52,Ghoul
53,Ghoul
55,Goblin
57,Ghoul
59,Goblin
60,Ghoul
61,Goblin
63,Ghoul
64,Ghoul
65,Ghoul
66,Goblin
67,Goblin
68,Ghost
74,Ghoul
76,Ghost
77,Goblin
78,Ghoul
81,Ghoul
83,Goblin
87,Ghoul
92,Ghoul
97,Ghoul
98,Ghoul
99,Ghost
100,Goblin
101,Goblin
102,Ghost
104,Goblin
105,Goblin
106,Ghost
108,Goblin
110,Ghoul
112,Ghoul
114,Ghost
116,Ghoul
117,Goblin
120,Ghost
121,Goblin
122,Goblin
123,Ghoul
124,Ghoul
126,Goblin
127,Ghoul
132,Ghoul
134,Goblin
135,Ghost
136,Goblin
137,Ghoul
138,Ghoul
139,Ghoul
140,Goblin
144,Goblin
145,Ghost
146,Goblin
147,Ghost
148,Ghoul
149,Goblin
150,Ghoul
151,Ghost
152,Ghost
153,Ghost
154,Goblin
156,Ghost
158,Ghost
160,Ghost
164,Ghost
166,Ghoul
167,Ghoul
169,Goblin
171,Goblin
173,Goblin
178,Goblin
179,Goblin
181,Goblin
182,Ghoul
183,Goblin
184,Goblin
187,Ghost
188,Ghoul
190,Ghoul
191,Ghoul
196,Ghost
198,Ghoul
200,Ghoul
201,Goblin
202,Goblin
203,Ghost
207,Ghoul
209,Ghoul
210,Ghost
211,Goblin
212,Ghoul
213,Ghoul
214,Ghost
217,Ghoul
220,Goblin
221,Ghost
223,Ghoul
225,Ghoul
228,Ghost
231,Ghost
232,Goblin
234,Ghoul
235,Ghoul
236,Ghost
238,Goblin
239,Goblin
240,Ghoul
241,Goblin
242,Goblin
243,Ghoul
244,Goblin
245,Ghoul
246,Goblin
248,Ghoul
249,Goblin
250,Ghost
251,Ghoul
252,Ghoul
253,Ghost
254,Ghoul
255,Ghost
256,Ghost
257,Goblin
259,Goblin
260,Ghoul
267,Ghoul
269,Goblin
270,Goblin
271,Goblin
273,Ghoul
274,Ghoul
275,Ghost
276,Goblin
277,Ghoul
278,Goblin
279,Ghoul
280,Goblin
281,Ghost
284,Ghost
288,Ghost
289,Ghost
290,Ghoul
292,Goblin
295,Ghost
297,Ghoul
298,Ghost
303,Ghoul
304,Goblin
308,Ghoul
309,Ghost
310,Goblin
311,Ghoul
312,Ghoul
314,Ghost
316,Ghost
317,Ghoul
318,Goblin
319,Ghost
320,Goblin
322,Goblin
326,Ghoul
328,Goblin
330,Ghost
331,Ghost
332,Ghoul
334,Goblin
335,Ghost
337,Ghoul
341,Ghoul
344,Goblin
345,Ghoul
347,Ghoul
348,Goblin
349,Ghost
350,Ghost
352,Ghost
353,Ghost
354,Goblin
356,Ghost
357,Ghoul
360,Goblin
361,Ghoul
363,Ghoul
364,Goblin
365,Ghost
370,Ghost
371,Ghost
372,Goblin
373,Ghost
374,Goblin
376,Ghost
377,Ghoul
378,Ghoul
379,Goblin
380,Goblin
381,Goblin
382,Ghoul
383,Goblin
384,Ghoul
386,Ghost
388,Ghost
391,Goblin
392,Ghost
395,Goblin
396,Ghoul
398,Ghost
400,Ghost
402,Ghost
403,Ghoul
405,Ghost
406,Ghoul
407,Goblin
408,Ghoul
411,Ghost
413,Ghost
414,Ghost
415,Ghost
417,Goblin
418,Goblin
420,Goblin
423,Ghost
424,Ghost
425,Goblin
426,Ghost
430,Goblin
431,Ghost
432,Goblin
433,Goblin
436,Goblin
437,Ghost
438,Ghoul
439,Goblin
440,Ghost
441,Ghost
442,Ghoul
443,Goblin
444,Goblin
445,Ghoul
446,Ghoul
449,Goblin
451,Ghoul
452,Goblin
453,Ghost
455,Ghoul
456,Ghoul
457,Ghost
459,Ghost
460,Ghoul
461,Ghoul
463,Goblin
468,Ghoul
469,Goblin
471,Ghost
473,Ghost
474,Goblin
475,Goblin
477,Ghoul
478,Ghoul
479,Goblin
480,Ghost
483,Ghoul
484,Ghost
485,Ghost
486,Goblin
488,Ghost
489,Ghoul
490,Ghoul
491,Goblin
493,Goblin
496,Ghost
498,Ghoul
499,Ghost
500,Ghoul
503,Ghoul
504,Ghoul
505,Goblin
508,Ghost
512,Ghoul
513,Ghoul
516,Goblin
517,Ghoul
519,Ghost
521,Goblin
522,Ghoul
524,Goblin
525,Goblin
526,Ghost
527,Ghost
529,Ghoul
530,Ghost
531,Ghost
532,Goblin
533,Ghoul
535,Ghost
537,Goblin
538,Ghoul
539,Ghoul
541,Ghost
543,Ghost
544,Ghost
546,Goblin
548,Ghost
550,Ghoul
551,Ghoul
554,Ghoul
555,Ghoul
560,Ghost
562,Ghost
563,Goblin
566,Goblin
567,Ghoul
568,Goblin
569,Ghoul
571,Ghoul
572,Goblin
573,Ghoul
576,Goblin
577,Goblin
578,Ghost
587,Ghost
588,Goblin
591,Goblin
592,Ghoul
595,Goblin
596,Ghost
597,Ghoul
599,Ghost
602,Ghoul
603,Ghoul
605,Goblin
606,Ghost
611,Ghost
612,Ghoul
613,Ghoul
615,Goblin
618,Goblin
619,Ghost
620,Goblin
622,Ghoul
623,Goblin
624,Goblin
626,Ghoul
628,Goblin
629,Ghoul
633,Goblin
634,Ghoul
635,Ghost
636,Goblin
638,Ghost
639,Ghoul
640,Goblin
642,Goblin
643,Goblin
644,Ghoul
645,Ghost
646,Goblin
648,Ghost
649,Goblin
650,Ghost
652,Goblin
655,Ghost
656,Goblin
657,Ghost
658,Goblin
659,Goblin
660,Ghost
665,Goblin
666,Goblin
668,Goblin
670,Goblin
671,Goblin
672,Ghost
673,Ghoul
675,Goblin
681,Ghoul
683,Ghoul
687,Goblin
689,Ghost
691,Goblin
692,Ghoul
694,Ghost
697,Goblin
702,Goblin
703,Ghost
704,Goblin
706,Ghoul
707,Ghost
710,Ghoul
711,Ghost
712,Goblin
713,Ghoul
717,Ghoul
718,Ghost
720,Ghost
723,Goblin
724,Ghoul
725,Ghoul
726,Ghost
730,Ghost
735,Ghost
738,Ghoul
740,Goblin
742,Ghost
744,Goblin
748,Ghoul
749,Ghoul
752,Goblin
755,Goblin
757,Ghoul
758,Goblin
759,Ghost
760,Ghoul
762,Ghost
763,Ghoul
764,Ghoul
765,Ghost
767,Ghost
768,Ghost
769,Ghoul
770,Goblin
771,Goblin
773,Goblin
774,Goblin
776,Goblin
778,Ghoul
780,Ghoul
781,Ghoul
782,Ghoul
783,Goblin
784,Goblin
787,Goblin
788,Ghoul
789,Goblin
790,Ghost
791,Ghost
794,Ghoul
795,Goblin
796,Goblin
798,Ghoul
799,Goblin
800,Ghoul
803,Goblin
805,Ghost
806,Ghoul
807,Ghoul
808,Ghoul
810,Ghoul
811,Ghost
815,Ghost
816,Goblin
818,Ghost
821,Ghost
822,Goblin
823,Ghoul
824,Goblin
825,Ghost
826,Ghoul
828,Ghost
830,Goblin
832,Ghost
833,Ghost
834,Ghost
835,Goblin
838,Goblin
842,Ghoul
844,Ghoul
848,Ghost
850,Ghoul
852,Ghost
853,Ghoul
854,Ghoul
856,Ghoul
857,Ghost
859,Ghoul
860,Ghost
862,Ghost
863,Goblin
865,Goblin
866,Ghost
868,Ghoul
869,Ghost
870,Ghoul
871,Goblin
872,Ghoul
875,Goblin
876,Ghost
879,Goblin
880,Goblin
881,Goblin
882,Ghoul
883,Ghoul
884,Goblin
885,Ghost
887,Ghoul
888,Goblin
891,Ghoul
892,Goblin
893,Ghoul
894,Goblin
895,Goblin
898,Ghost
899,Ghost
